evento,id_evento
10° D.T.O.,1
11° D.T.O.,2
12° D.T.O.,3
13° D.T.O.,4
14° D.T.O.,5
15° D.T.O.,6
16° D.T.O.,7
17° D.T.O.,8
18° D.T.O.,9
19° D.T.O.,10
1° Domenica di Avvento,11
1° Domenica di Quaresima,12
20° D.T.O.,13
21° D.T.O.,14
22° D.T.O.,15
23° D.T.O.,16
24° D.T.O.,17
25° D.T.O.,18
26° D.T.O.,19
27° D.T.O.,20
28° D.T.O.,21
29° D.T.O.,22
2° Domenica di Avvento,23
2° Domenica di Pasqua o della Divina Misericordia (dom. in Albis),24
2° Domenica di Quaresima,25
2° D.T.O.,26
30° D.T.O.,27
31° D.T.O.,28
32° D.T.O.,29
33° D.T.O.,30
34° D.T.O. - Solennità di Cristo Re,31
3° Domenica di Avvento - Gaudete,32
3° Domenica di Pasqua (Misericordias Domini),33
3° Domenica di Quaresima,34
3° D.T.O.,35
4° Domenica di Avvento,36
4° Domenica di Pasqua (Jubilate),37
4° D.T.O.,38
5° Domenica di Pasqua (Cantate),39
5° Domenica di Quaresima,40
5° D.T.O.,41
6° Domenica di Pasqua (Rogate - Vocem jocunditatis),42
6° D.T.O.,43
7° D.T.O.,44
8° D.T.O.,45
9° D.T.O.,46
Ascensione di Gesù,47
Assunzione della Beata Vergine Maria,48
Battesimo del Signore,49
Beata Vergine Maria del Monte Carmelo,50
Cattedra di San Pietro Apostolo,51
Commemorazione dei defunti,52
Conversione di San Paolo apostolo,53
Dedicazione Basilica Lateranense,54
Domenica delle Palme,55
Domenica Laetare,56
Epifania del Signore,57
Esaltazione della Santa Croce,58
Festa dell'Annunciazione,59
Festa della Sacra Famiglia,60
Giornata mondiale della pace,61
Giovedì Santo (In Cena Domini),62
Giovedì Santo (Messa del Crisma),63
Immacolata Concezione,64
Inizio Novena alla Divina Misericordia,65
Inizio Novena all'immacolata,66
Inizio Novena dei morti,67
Inizio Novena di Natale,68
Inizio Novena di Pentecoste,69
Lunedì dell'Angelo,70
Lunedì della settimana Santa,71
Madonna del Rosario,72
Madonna di Loreto,73
Madonna di Lourdes,74
Maria Santissima Madre di Dio,75
Martedì della settimana Santa,76
Mercoledì della settimana Santa,77
Mercoledì delle ceneri,78
Messa di Ringraziamento,79
Natale del Signore,80
Natività della Beata Vergine Maria,81
Natività di San Giovanni Battista,82
Pasqua - Risurrezione del Signore,83
Pentecoste,84
Presentazione della Beata Vergine Maria,85
Presentazione del Signore (Candelora),86
Sabato Santo,87
San Giacomo,88
San Giuseppe Lavoratore,89
Santa Cecilia patrona musica,90
Santa Lucia,91
Santi Pietro e Paolo Apostoli,92
Santissimo Corpo e Sangue di Cristo,93
Santissimo Cuore di Gesù,94
Santissimo nome di Gesù,95
Santissimo nome di Maria,96
Santo Stefano,97
Solennità della Santissima Trinità,98
Solennità di San Giuseppe,99
Solennità di tutti i Santi,100
Trasfigurazione del Signore,101
Venerdì Santo (Passione del Signore),102
Visitazione della Beata Vergine Maria,103
