date,id_liturgia
2024-10-27,C65-B
2024-11-01,C79-B
2024-11-02,C81-B
2024-11-02,C82-B
2024-11-02,C80-B
2024-11-03,C66-B
2024-11-09,C83-B
2024-11-10,C67-B
2024-11-17,C68-B
2024-11-24,C69-B
2024-12-01,C1-B
2024-12-08,C2-B
2024-12-08,C84-B
2024-12-15,C3-B
2024-12-22,C4-B
2024-12-25,C8-B
2024-12-29,C9-B
2025-01-01,C10-C
2025-01-06,C12-C
2025-01-12,C13-C
2025-01-19,C37-C
2025-01-26,C38-C
2025-02-02,C70-C
2025-02-09,C40-C
2025-02-16,C41-C
2025-02-23,C42-C
2025-03-02,C43-C
2025-03-09,C14-C
2025-03-16,C15-C
2025-03-23,C16-C
2025-03-30,C17-C
2025-04-06,C18-C
2025-04-13,C19-C
2025-04-17,C20-C
2025-04-17,C21-C
2025-04-18,C22-C
2025-04-20,C24-C
2025-04-27,C25-C
2025-05-04,C26-C
2025-05-11,C27-C
2025-05-18,C28-C
2025-05-25,C29-C
2025-06-01,C30-C
2025-06-08,C33-C
2025-06-15,C34-C
2025-06-22,C35-C
2025-06-24,C72-C
2025-06-27,C36-C
2025-06-29,C74-C
2025-07-06,C49-C
2025-07-13,C50-C
2025-07-20,C51-C
2025-07-27,C52-C
2025-08-03,C53-C
2025-08-06,C75-C
2025-08-10,C54-C
2025-08-15,C77-C
2025-08-17,C55-C
2025-08-24,C56-C
2025-08-31,C57-C
2025-09-07,C58-C
2025-09-14,C78-C
2025-09-21,C60-C
2025-09-28,C61-C
2025-10-05,C62-C
2025-10-12,C63-C
2025-10-19,C64-C
2025-10-26,C65-C
2025-11-01,C79-C
2025-11-02,C66-C
2025-11-02,C82-C
2025-11-02,C80-C
2025-11-02,C81-C
2025-11-09,C83-C
2025-11-16,C68-C
2025-11-23,C69-C
2025-11-30,C1-C
2025-12-07,C2-C
2025-12-08,C84-C
2025-12-14,C3-C
2025-12-21,C4-C
2025-12-25,C8-C
2025-12-28,C9-C
2026-01-01,C10-A
2026-01-06,C12-A
2026-01-11,C13-A
2026-01-18,C37-A
2026-01-25,C38-A
2026-02-01,C39-A
2026-02-02,C70-A
2026-02-08,C40-A
2026-02-15,C41-A
2026-02-22,C14-A
2026-03-01,C15-A
2026-03-08,C16-A
2026-03-15,C17-A
2026-03-22,C18-A
2026-03-29,C19-A
2026-04-02,C20-A
2026-04-02,C21-A
2026-04-03,C22-A
2026-04-05,C24-A
2026-04-12,C25-A
2026-04-19,C26-A
2026-04-26,C27-A
2026-05-03,C28-A
2026-05-10,C29-A
2026-05-17,C30-A
2026-05-24,C33-A
2026-05-31,C34-A
2026-06-07,C35-A
2026-06-12,C36-A
2026-06-14,C46-A
2026-06-21,C47-A
2026-06-24,C72-A
2026-06-28,C48-A
2026-06-29,C74-A
2026-07-05,C49-A
2026-07-12,C50-A
2026-07-19,C51-A
2026-07-26,C52-A
2026-08-02,C53-A
2026-08-06,C75-A
2026-08-09,C54-A
2026-08-15,C77-A
2026-08-16,C55-A
2026-08-23,C56-A
2026-08-30,C57-A
2026-09-06,C58-A
2026-09-13,C59-A
2026-09-14,C78-A
2026-09-20,C60-A
2026-09-27,C61-A
2026-10-04,C62-A
2026-10-11,C63-A
2026-10-18,C64-A
2026-10-25,C65-A
2026-11-01,C79-A
2026-11-02,C80-A
2026-11-02,C82-A
2026-11-02,C81-A
2026-11-08,C67-A
2026-11-09,C83-A
2026-11-15,C68-A
2026-11-22,C69-A
2026-11-29,C1-A
2026-12-06,C2-A
2026-12-08,C84-A
2026-12-13,C3-A
2026-12-20,C4-A
2026-12-25,C8-A
2026-12-27,C9-A
2027-01-01,C10-B
2027-01-03,C11-B
2027-01-06,C12-B
2027-01-10,C13-B
2027-01-17,C37-B
2027-01-24,C38-B
2027-01-31,C39-B
2027-02-02,C70-B
2027-02-07,C40-B
2027-02-14,C14-B
2027-02-21,C15-B
2027-02-28,C16-B
2027-03-07,C17-B
2027-03-14,C18-B
2027-03-21,C19-B
2027-03-25,C21-B
2027-03-25,C20-B
2027-03-26,C22-B
2027-03-28,C24-B
2027-04-04,C25-B
2027-04-11,C26-B
2027-04-18,C27-B
2027-04-25,C28-B
2027-05-02,C29-B
2027-05-09,C30-B
2027-05-16,C33-B
2027-05-23,C34-B
2027-05-30,C35-B
2027-06-04,C36-B
2027-06-06,C45-B
2027-06-13,C46-B
2027-06-20,C47-B
2027-06-24,C72-B
2027-06-27,C48-B
2027-06-29,C74-B
2027-07-04,C49-B
2027-07-11,C50-B
2027-07-18,C51-B
2027-07-25,C52-B
2027-08-01,C53-B
2027-08-06,C75-B
2027-08-08,C54-B
2027-08-15,C77-B
2027-08-22,C56-B
2027-08-29,C57-B
2027-09-05,C58-B
2027-09-12,C59-B
2027-09-14,C78-B
2027-09-19,C60-B
2027-09-26,C61-B
2027-10-03,C62-B
2027-10-10,C63-B
2027-10-17,C64-B
2028-01-30,C39-C
2028-06-25,C47-C
2028-07-02,C48-C
2028-09-17,C59-C
2028-11-12,C67-C
2029-06-10,C45-A
2029-11-04,C66-A
2030-02-17,C41-B
2030-02-24,C42-B
2030-03-03,C43-B
2030-08-18,C55-B
2034-06-18,C46-C
2035-06-03,C44-A
2038-01-03,C11-A
2038-02-21,C42-A
2038-02-28,C43-A
2040-06-10,C45-C
2046-06-03,C44-C
2049-01-03,C11-C
