testo,pagina
INDICE DECRETI,5
INTRODUZIONE,13
Principi generali per la celebrazione liturgica della parola di Dio,15
La celebrazione della liturgia della Parola nella Messa,21
Uffici e ministeri nella celebrazione della liturgia della Parola durante la Messa,28
Ordinamento generale delle letture della Messa,33
Descrizione dell’Ordinamento delle letture,44
"Adattamenti, traduzione nelle lingue moderne e apparato dell’Ordinamento delle letture",52
Tabella annuale delle principali celebrazioni dell’anno liturgico,56
Ordinamento della seconda lettura nelle domeniche del Tempo Ordinario,57
Ordinamento della prima lettura nelle ferie del Tempo Ordinario,58
TEMPO DI AVVENTO,59
I domenica,61
II domenica,66
III domenica,72
IV domenica,77
TEMPO DI NATALE,81
Natale del Signore – Messa vespertina nella vigilia,83
Natale del Signore – Messa della notte,90
Natale del Signore – Messa dell’aurora,95
Natale del Signore – Messa del giorno,99
"Santa Famiglia di Gesù, Maria e Giuseppe",106
Solennità di Maria SS Madre di Dio,111
II domenica dopo Natale,115
Epifania del Signore,122
Battesimo del Signore,127
TEMPO DI QUARESIMA,131
I domenica,133
II domenica,139
III domenica,143
IV domenica,151
V domenica,159
Domenica delle Palme: Passione del Signore,167
Giovedì della Settimana Santa – Messa del Crisma,185
TRIDUO PASQUALE,191
Giovedì Santo – Messa vespertina «Cena del Signore»,193
Venerdì Santo «Passione del Signore»,198
Domenica di Pasqua – Veglia pasquale nella Notte Santa,210
TEMPO DI PASQUA,241
Domenica di Pasqua «Risurrezione del Signore» – Messa del giorno,243
II domenica,251
III domenica,256
IV domenica,262
V domenica,267
VI domenica,272
Ascensione del Signore,276
VII domenica,281
Domenica di Pentecoste – Messa vespertina nella vigilia,285
Domenica di Pentecoste – Messa del giorno,296
SOLENNITÀ DEL SIGNORE NEL TEMPO ORDINARIO,303
Solennità della SS Trinità,305
Solennità del SS Corpo e Sangue di Cristo,309
Solennità del Sacratissimo Cuore di Gesù,316
TEMPO ORDINARIO,321
II domenica,323
III domenica,327
IV domenica,332
V domenica,336
VI domenica,340
VII domenica,347
VIII domenica,352
IX domenica,357
X domenica,362
XI domenica,366
XII domenica,370
XIII domenica,375
XIV domenica,380
XV domenica,384
XVI domenica,391
XVII domenica,397
XVIII domenica,402
XIX domenica,406
XX domenica,410
XXI domenica,414
XXII domenica,418
XXIII domenica,422
XXIV domenica,426
XXV domenica,431
XXVI domenica,436
XXVII domenica,442
XXVIII domenica,448
XXIX domenica,454
XXX domenica,458
XXXI domenica,462
XXXII domenica,466
XXXIII domenica,471
Solennità di nostro Signore Gesù Cristo Re dell’universo,477
DAL PROPRIO DEI SANTI,483
2 febbraio: Presentazione del Signore,485
24 giugno: Natività di san Giovanni Battista – Messa vespertina nella vigilia,491
24 giugno: Natività di san Giovanni Battista – Messa del giorno,496
29 giugno: Santi Pietro e Paolo apostoli – Messa vespertina nella vigilia,501
29 giugno: Santi Pietro e Paolo apostoli – Messa del giorno,506
6 agosto: Trasfigurazione del Signore,512
15 agosto: Assunzione della beata Vergine Maria – Messa vespertina nella vigilia,516
15 agosto: Assunzione della beata Vergine Maria – Messa del giorno,520
14 settembre: Esaltazione della Santa Croce,525
1 novembre: Tutti i Santi,529
"2 novembre: Commemorazione di tutti i fedeli defunti – 1° schema",533
"2 novembre: Commemorazione di tutti i fedeli defunti – 2° schema",537
"2 novembre: Commemorazione di tutti i fedeli defunti – 3° schema",542
9 novembre: Dedicazione della Basilica lateranense,547
8 dicembre: Immacolata Concezione della beata Vergine Maria,551
