celebrazione,pagina_printed,pagina_pdf
I domenica di Avvento,61,63
II domenica di Avvento,66,68
III domenica di Avvento,72,75
IV domenica di Avvento,77,80
Natale del Signore – Messa vespertina nella vigilia,83,87
Natale del Signore – Messa della notte,90,94
Natale del Signore – Messa dell’aurora,95,99
Natale del Signore – Messa del giorno,99,104
"Santa Famiglia di Gesù, Maria e Giuseppe",106,111
Solennità di Maria SS Madre di Dio,111,116
II domenica dopo Natale,115,121
Epifania del Signore,122,128
Battesimo del Signore,127,134
I domenica di Quaresima,133,142
II domenica di Quaresima,139,148
III domenica di Quaresima,143,153
IV domenica di Quaresima,151,162
V domenica di Quaresima,159,171
Domenica delle Palme: Passione del Signore,167,180
Giovedì della Settimana Santa – Messa del Crisma,185,199
Giovedì Santo – Messa vespertina «Cena del Signore»,193,207
Venerdì Santo «Passione del Signore»,198,213
Domenica di Pasqua – Veglia pasquale nella Notte Santa,210,226
Domenica di Pasqua «Risurrezione del Signore» – Messa del giorno,243,260
II domenica di Pasqua,251,270
III domenica di Pasqua,256,276
IV domenica di Pasqua,262,283
V domenica di Pasqua,267,289
VI domenica di Pasqua,272,294
Ascensione del Signore,276,298
VII domenica di Pasqua,281,305
Domenica di Pentecoste – Messa vespertina nella vigilia,285,310
Domenica di Pentecoste – Messa del giorno,296,321
Solennità della SS Trinità,305,331
Solennità del SS Corpo e Sangue di Cristo,309,335
Solennità del Sacratissimo Cuore di Gesù,316,343
II domenica del Tempo Ordinario,323,350
III domenica del Tempo Ordinario,327,354
IV domenica del Tempo Ordinario,332,359
V domenica del Tempo Ordinario,336,363
VI domenica del Tempo Ordinario,340,367
VII domenica del Tempo Ordinario,347,374
VIII domenica del Tempo Ordinario,352,379
IX domenica del Tempo Ordinario,357,384
X domenica del Tempo Ordinario,362,389
XI domenica del Tempo Ordinario,366,393
XII domenica del Tempo Ordinario,370,397
XIII domenica del Tempo Ordinario,375,402
XIV domenica del Tempo Ordinario,380,407
XV domenica del Tempo Ordinario,384,411
XVI domenica del Tempo Ordinario,391,418
XVII domenica del Tempo Ordinario,397,424
XVIII domenica del Tempo Ordinario,402,429
XIX domenica del Tempo Ordinario,406,434
XX domenica del Tempo Ordinario,410,438
XXI domenica del Tempo Ordinario,414,442
XXII domenica del Tempo Ordinario,418,446
XXIII domenica del Tempo Ordinario,422,450
XXIV domenica del Tempo Ordinario,426,454
XXV domenica del Tempo Ordinario,431,459
XXVI domenica del Tempo Ordinario,436,464
XXVII domenica del Tempo Ordinario,442,470
XXVIII domenica del Tempo Ordinario,448,476
XXIX domenica del Tempo Ordinario,454,482
XXX domenica del Tempo Ordinario,458,486
XXXI domenica del Tempo Ordinario,462,491
XXXII domenica del Tempo Ordinario,466,495
XXXIII domenica del Tempo Ordinario,471,500
Solennità di nostro Signore Gesù Cristo Re dell’universo,477,506
2 febbraio: Presentazione del Signore,485,515
24 giugno: Natività di san Giovanni Battista – Messa vespertina nella vigilia,491,521
24 giugno: Natività di san Giovanni Battista – Messa del giorno,496,526
29 giugno: Santi Pietro e Paolo apostoli – Messa vespertina nella vigilia,501,531
29 giugno: Santi Pietro e Paolo apostoli – Messa del giorno,506,536
6 agosto: Trasfigurazione del Signore,512,542
15 agosto: Assunzione della beata Vergine Maria – Messa vespertina nella vigilia,516,546
15 agosto: Assunzione della beata Vergine Maria – Messa del giorno,520,550
14 settembre: Esaltazione della Santa Croce,525,555
1 novembre: Tutti i Santi,529,559
2 novembre: Commemorazione di tutti i fedeli defunti – 1° schema,533,563
2 novembre: Commemorazione di tutti i fedeli defunti – 2° schema,537,567
2 novembre: Commemorazione di tutti i fedeli defunti – 3° schema,542,572
9 novembre: Dedicazione della Basilica lateranense,547,577
8 dicembre: Immacolata Concezione della beata Vergine Maria,551,581
